timestamp,zone,line,direction,transportMode,latitude,longitude
1720040895350,18,7,Tynnered,tram,57.694054,11.97285
1720040895350,18,2,Mölndal,tram,57.698522,11.986423
1720040895350,18,9,Kungssten,tram,57.71721,11.996932
1720040895350,18,10,Guldheden,tram,57.682746,11.974935
1720040895350,18,11,Bergsjön via Kungsportsplatsen,tram,57.699529,11.962791
1720040895350,18,11,Bergsjön,tram,57.73162,12.022326
1720040895350,18,21,Eketrägatan via Lundbyleden,bus,57.748016,12.035253
1720040895350,18,X4,Kungälv"," Påstigning fram,bus,57.667491,12.107023
1720040895350,18,X4,Höga Hallar via Mölnlycke"," Påstigning fram,bus,57.726658,11.970827
1720040895350,18,X2,Gerrebacka"," Påstigning fram,bus,57.69258,11.95257
1720040895350,18,X4,Höga Hallar via Mölnlycke"," Påstigning fram,bus,57.66403,12.11443
1720040895350,18,X1,Torslanda"," Påstigning fram,bus,57.734551,12.085323
1720040895350,18,X4,Kungälv"," Påstigning fram,bus,57.696841,11.986235
1720040895350,18,X4,Kungälv"," Påstigning fram,bus,57.674206,12.089817
1720040895350,18,732,Frillesås"," Påstigning fram,bus,57.369328,12.119149
1720040895350,18,531,Lerum station"," Påstigning fram,bus,57.793691,12.348994
1720040895350,18,X2,Billdal"," Påstigning fram,bus,57.720806,11.954709
1720040895350,18,X2,Billdal"," Påstigning fram,bus,57.699744,11.952031
1720040895350,18,X2,Billdal"," Påstigning fram,bus,57.599802,11.952219
1720040895350,18,X,Länsmansgården,tram,57.720536,11.954449
1720040895350,18,16,Högsbohöjd,bus,57.695771,11.9716
1720040895350,18,16,Västra Eriksberg,bus,57.694773,11.9724
1720040895350,18,18,Backa via Nordstan,bus,57.684157,12.005588
1720040895350,18,18,Backa,bus,57.718478,11.963564
1720040895350,18,18,Backa,bus,57.745877,11.97756
1720040895350,18,18,Kallebäck via Nordstan,bus,57.731503,11.975232
1720040895350,18,18,Kallebäck,bus,57.70281,11.973164
1720040895350,18,18,Kallebäck,bus,57.681712,12.009463
1720040895350,18,611,Rävlanda"," Påstigning fram,bus,57.659284,12.485163
1720040895350,18,X3,Särö"," Påstigning fram,bus,57.791084,12.114115
1720040895350,18,X3,Gråbo"," Påstigning fram,bus,57.73304,12.001193
1720040895350,18,X3,Kullavik"," Påstigning fram,bus,57.689263,11.952741
1720040895350,18,X2,Gerrebacka"," Påstigning fram,bus,57.802149,11.981263
1720040895350,18,X2,Gerrebacka"," Påstigning fram,bus,57.720608,11.955977
1720040895350,18,X3,Gråbo"," Påstigning fram,bus,57.813602,12.182622
1720040895350,18,X3,Särö"," Påstigning fram,bus,57.547988,11.956273
1720040895350,18,31,Eketrägatan"," Påstigning fram,bus,57.717102,11.952786
1720040895350,18,43,Skogome"," Påstigning fram,bus,57.725211,11.982324
1720040895350,18,X1,Partille centrum"," Påstigning fram,bus,57.710576,11.970261
1720040895350,18,42,Skogome"," Påstigning fram,bus,57.73002,11.958116
1720040895350,18,RÖD,Landvetter centrum via Stenpiren"," Påstigning fram,bus,57.702028,11.951842
1720040895350,18,RÖD,Önneröd"," Påstigning fram,bus,57.685433,12.215181
1720040895350,18,RÖD,Göteborg"," Lilla Varholmen"," Påstigning fram,bus,57.686162,12.205374
1720040895350,18,RÖD,Lilla Varholmen"," Påstigning fram,bus,57.701614,11.953451
1720040895350,18,19,Backa,bus,57.756583,11.980508
1720040895350,18,90,Frölunda Torg via Gråberget"," Påstigning fram,bus,57.700868,11.951275
1720040895350,18,759,Västra Balltorp"," Påstigning fram,bus,57.629943,12.015836
1720040895350,18,525,Gråbo"," Påstigning fram,bus,57.769698,12.268316
1720040895350,18,300,Kinna"," Påstigning fram,bus,57.685613,12.286492
1720040895350,18,6,Svingeln,tram,57.727925,12.007206
1720040895350,18,8,Angered,tram,57.684301,11.963438
1720040895350,18,8,Angered,tram,57.726352,12.004177
1720040895350,18,8,Högsbotorp,tram,57.766202,12.020286
1720040895350,18,8,Högsbotorp,tram,57.694854,11.988482
1720040895350,18,7,Bergsjön,tram,57.707637,11.977066
1720040895350,18,7,Bergsjön,tram,57.753347,12.068342
1720040895350,18,3,Kålltorp,tram,57.710846,11.989246
1720040895350,18,4,Mölndal,tram,57.707619,11.97685
1720040895350,18,4,Mölndal,tram,57.658709,12.015189
1720040895350,18,10,Centralstationen,tram,57.703367,11.970728
1720040895350,18,21,Bergsjön,bus,57.709291,11.970908
1720040895350,18,21,Bergsjön,bus,57.754192,12.042372
1720040895350,18,19,Eriksberg via Polstjärnegatan,bus,57.749652,11.980706
1720040895350,18,FLYG,Göteborg"," Nils Ericson Terminalen,bus,57.689811,12.000707
1720040895350,18,760,Varvsvägen"," Påstigning fram,bus,57.57439,12.083201
1720040895350,18,110,Erikstorp via Bollebygd station"," Påstigning fram,bus,57.668507,12.572691
1720040895350,18,60,Redbergsplatsen"," Påstigning fram,bus,57.694297,11.979627
1720040895350,18,60,Redbergsplatsen"," Påstigning fram,bus,57.710756,12.013795
1720040895350,18,159,Volvo Torslanda"," Påstigning fram,bus,57.716599,11.950143
1720040895350,18,513,Partille centrum via Sävedalen"," Påstigning fram,bus,57.711916,11.989372
1720040895350,18,515,Partille centrum"," Påstigning fram,bus,57.735072,12.091408
1720040895350,18,179,Volvo Torslanda"," Påstigning fram,bus,57.802033,11.982639
1720040895350,18,3587,Göteborg,train/vasttagen,57.759873,12.255551
1720040895350,18,3487,Göteborg,train/vasttagen,57.721112,12.002289
1720040895350,18,3091,Kungsbacka,train/vasttagen,57.509362,12.08232
1720040895350,18,3090,Göteborg,train/vasttagen,57.683132,12.004384
1720040895350,18,3592,Alingsås,train/vasttagen,57.724752,12.018766
1720040895350,18,20187,Halmstad,train/regionaltrain,57.357165,12.139348
1720040895350,18,1122,Göteborg,train/regionaltrain,57.634905,12.033446
1720040895350,18,SVART,Vallhamra"," Påstigning fram,bus,57.720545,12.070104
1720040895350,18,753,Mölndal via Helenedal"," Påstigning fram,bus,57.704733,11.987268
1720040895350,18,753,Heden via Chalmers"," Påstigning fram,bus,57.647265,11.994523
1720040895350,18,753,Mölndal via Åby"," Påstigning fram,bus,57.683402,11.964121
1720040895350,18,753,Heden via Helenedal"," Påstigning fram,bus,57.66323,12.026686
1720040895350,18,611,Mölnlycketerminalen"," Påstigning fram,bus,57.686045,12.2095
1720040895350,18,56,Gamlestads Torg"," Påstigning fram,bus,57.748034,12.068818
1720040895350,18,765,Tulebo"," Påstigning fram,bus,57.610185,12.062157
1720040895350,18,X4,Mölnlycke"," Påstigning fram,bus,57.696859,11.98699
1720040895350,18,100,Göteborg"," Påstigning fram,bus,57.683141,12.255704
1720040895350,18,732,Kungsbacka"," Påstigning fram,bus,57.473441,12.095283
1720040895350,18,537,Lerum"," Påstigning fram,bus,57.809458,12.36122
1720040895350,18,533,Floda"," Påstigning fram,bus,57.809035,12.400161
1720040895350,18,512,Liseberg Station"," Påstigning fram,bus,57.675581,12.053896
1720040895350,18,512,Partille centrum via Öjersjö"," Påstigning fram,bus,57.699591,12.132183
1720040895350,18,110,Borås"," Påstigning fram,bus,57.667015,12.566129
1720040895350,18,401,Kungälv"," Påstigning fram,bus,57.794437,12.047424
1720040895350,18,401,Angered"," Påstigning fram,bus,57.80873,12.016223
1720040895350,18,44,Hjalmar Brantingsplatsen"," Påstigning fram,bus,57.727359,11.964606
1720040895350,18,44,Backatorp"," Påstigning fram,bus,57.759055,11.985174
1720040895350,18,40,Angered"," Påstigning fram,bus,57.723763,11.984257
1720040895350,18,611,Landvetter centrum"," Påstigning fram,bus,57.686099,12.206551
1720040895350,18,100,Borås"," Påstigning fram,bus,57.676291,12.691267
1720040895350,18,100,Borås"," Påstigning fram,bus,57.697137,11.984931
1720040895350,18,17,Östra Sjukhuset,bus,57.712212,11.99001
1720040895350,18,40,Svingeln"," Påstigning fram,bus,57.787991,11.990981
1720040895350,18,519,Partille centrum via Lexby skola"," Påstigning fram,bus,57.747288,12.141856
1720040895350,18,517,Furulund"," Påstigning fram,bus,57.733912,12.134404
1720040895350,18,513,Heden"," Påstigning fram,bus,57.730317,12.054903
1720040895350,18,510,Partille centrum"," Påstigning fram,bus,57.739881,12.097098
1720040895350,18,514,Partille centrum via Vallhamra"," Påstigning fram,bus,57.72264,12.057159
1720040895350,18,518,Jonsered via Stärtered"," Påstigning fram,bus,57.738964,12.131347
1720040895350,18,142,Hisingen logistikpark"," Påstigning fram,bus,57.733247,11.973973
1720040895350,18,43,Svingeln"," Påstigning fram,bus,57.755145,11.970351
1720040895350,18,74,Angered centrum"," Påstigning fram,bus,57.750569,12.078581
